,Title,Production Budget,Worldwide,Domestic,Foreign,Year,Awards,Genre,Production,Rated,Imdb Rating
0,Jurassic World,"$215,000,000","$1,670,400,637","$652,270,625","$1,018,130,012",2015,15 wins & 57 nominations.,"Action, Adventure, Sci-Fi",Universal Pictures,PG-13,7.0
1,Furious 7,"$190,000,000","$1,515,047,671","$353,007,020","$1,162,040,651",2015,Nominated for 1 Golden Globe. Another 33 wins & 34 nominations.,"Action, Adventure, Thriller",Universal Pictures,PG-13,7.2
2,Avengers: Age of Ultron,"$365,000,000","$1,402,805,868","$459,005,868","$943,800,000",2015,8 wins & 47 nominations.,"Action, Adventure, Sci-Fi",Walt Disney Pictures,PG-13,7.3
3,Minions,"$74,000,000","$1,159,398,397","$336,045,770","$823,352,627",2015,Nominated for 1 BAFTA Film Award. Another 4 wins & 25 nominations.,"Animation, Adventure, Comedy, Family, Sci-Fi",Universal Pictures,PG,6.4
4,Spectre,"$300,000,000","$880,674,609","$200,074,609","$680,600,000",2015,Won 1 Oscar. Another 7 wins & 34 nominations.,"Action, Adventure, Thriller",Sony Pictures,PG-13,6.8
5,Batman v Superman: Dawn of Justice,"$263,000,000","$873,634,919","$330,360,194","$543,274,725",2016,14 wins & 33 nominations.,"Action, Adventure, Sci-Fi",Warner Bros. Pictures,PG-13,6.5
6,Inside Out,"$175,000,000","$857,611,174","$356,461,711","$501,149,463",2015,Won 1 Oscar. Another 97 wins & 113 nominations.,"Animation, Adventure, Comedy, Drama, Family, Fantasy",Disney/Pixar,PG,8.2
7,The Hunger Games: Mockingjay - Part 2,"$160,000,000","$658,344,137","$281,723,902","$376,620,235",2015,16 wins & 34 nominations.,"Action, Adventure, Sci-Fi, Thriller",Lionsgate Films,PG-13,6.5
8,The Martian,"$108,000,000","$630,161,890","$228,433,663","$401,728,227",2015,Nominated for 7 Oscars. Another 40 wins & 188 nominations.,"Adventure, Drama, Sci-Fi",20th Century Fox,PG-13,8.0
9,Fifty Shades of Grey,"$40,000,000","$569,651,467","$166,167,230","$403,484,237",2015,Nominated for 1 Oscar. Another 9 wins & 26 nominations.,"Drama, Romance, Thriller",Focus Features,R,4.1
10,Cinderella,"$95,000,000","$542,351,353","$201,151,353","$341,200,000",2015,Nominated for 1 Oscar. Another 8 wins & 36 nominations.,"Drama, Family, Fantasy, Romance",Walt Disney Pictures,PG,6.9
11,Cinderella,"$2,900,000","$542,351,353","$201,151,353","$341,200,000",2015,Nominated for 1 Oscar. Another 8 wins & 36 nominations.,"Drama, Family, Fantasy, Romance",Walt Disney Pictures,PG,6.9
12,The Revenant,"$135,000,000","$532,950,503","$183,637,894","$349,312,609",2015,Won 3 Oscars. Another 88 wins & 185 nominations.,"Action, Adventure, Biography, Drama, History, Western",20th Century Fox,R,8.0
13,Ant-Man,"$130,000,000","$519,311,965","$180,202,163","$339,109,802",2015,Nominated for 1 BAFTA Film Award. Another 3 wins & 33 nominations.,"Action, Adventure, Comedy, Sci-Fi",Disney/Marvel,PG-13,7.3
14,Hotel Transylvania 2,"$80,000,000","$474,800,000","$169,700,110","$305,099,890",2015,1 win & 10 nominations.,"Animation, Comedy, Family, Fantasy, Horror",Sony Pictures,PG,6.7
15,San Andreas,"$110,000,000","$473,990,832","$155,190,832","$318,800,000",2015,2 wins & 10 nominations.,"Action, Adventure, Drama, Thriller",Warner Bros.,PG-13,6.0
16,Kingsman: The Secret Service,"$94,000,000","$414,351,546","$128,261,724","$286,089,822",2014,8 wins & 27 nominations.,"Action, Adventure, Comedy, Thriller",20th Century Fox,R,7.7
17,Home,"$130,000,000","$386,041,607","$177,397,510","$208,644,097",2015,3 wins & 9 nominations.,"Animation, Adventure, Comedy, Family, Fantasy, Sci-Fi",DreamWorks Animation,PG,6.6
18,Home,"$12,000,000","$386,041,607","$177,397,510","$208,644,097",2015,3 wins & 9 nominations.,"Animation, Adventure, Comedy, Family, Fantasy, Sci-Fi",DreamWorks Animation,PG,6.6
19,Mad Max: Fury Road,"$150,000,000","$374,736,354","$153,636,354","$221,100,000",2015,Won 6 Oscars. Another 234 wins & 220 nominations.,"Action, Adventure, Sci-Fi, Thriller",Warner Bros.,R,8.1
20,The Good Dinosaur,"$187,500,000","$332,207,671","$123,087,120","$209,120,551",2015,Nominated for 1 Golden Globe. Another 9 wins & 40 nominations.,"Animation, Adventure, Comedy, Drama, Family, Fantasy",Disney/Pixar,PG,6.7
21,Taken 3,"$48,000,000","$326,479,141","$89,256,424","$237,222,717",2014,3 wins & 2 nominations.,"Action, Thriller",20th Century Fox,PG-13,6.0
22,The SpongeBob Movie: Sponge Out of Water,"$74,000,000","$325,186,032","$162,994,032","$162,192,000",2015,1 win & 9 nominations.,"Animation, Adventure, Comedy, Family, Fantasy",Paramount Pictures,PG,6.0
23,Maze Runner: The Scorch Trials,"$61,000,000","$312,296,056","$81,697,192","$230,598,864",2015,2 wins & 5 nominations.,"Action, Adventure, Sci-Fi, Thriller",20th Century Fox,PG-13,6.3
24,Pitch Perfect 2,"$29,000,000","$287,144,079","$184,296,230","$102,847,849",2015,9 wins & 16 nominations.,"Comedy, Music",Universal Pictures,PG-13,6.4
25,The Peanuts Movie,"$99,000,000","$246,233,113","$130,178,411","$116,054,702",2015,Nominated for 1 Golden Globe. Another 2 wins & 47 nominations.,"Animation, Adventure, Comedy, Drama, Family",20th Century Fox,G,7.1
26,Pixels,"$90,000,000","$244,874,809","$78,747,585","$166,127,224",2015,4 wins & 9 nominations.,"Action, Comedy, Sci-Fi",Sony Pictures,PG-13,5.5
27,Alvin and the Chipmunks: The Road Chip,"$90,000,000","$234,798,636","$85,886,987","$148,911,649",2015,1 win & 4 nominations.,"Animation, Adventure, Comedy, Family, Fantasy, Music",20th Century Fox,PG,5.0
28,Ted 2,"$68,000,000","$215,863,606","$81,476,385","$134,387,221",2015,3 wins & 4 nominations.,Comedy,Universal Pictures,R,6.3
29,Tomorrowland,"$170,000,000","$209,035,668","$93,436,322","$115,599,346",2015,2 wins & 19 nominations.,"Action, Adventure, Family, Fantasy, Mystery, Sci-Fi",Walt Disney Pictures,PG,6.4
30,Everest,"$65,000,000","$203,427,584","$43,482,270","$159,945,314",2015,1 win & 8 nominations.,"Action, Adventure, Biography, Drama, Thriller",Universal Pictures,PG-13,7.1
31,Straight Outta Compton,"$28,000,000","$201,634,991","$161,197,785","$40,437,206",2015,Nominated for 1 Oscar. Another 28 wins & 39 nominations.,"Biography, Drama, History, Music",Universal Pictures,R,7.9
32,The Intern,"$40,000,000","$194,564,672","$75,764,672","$118,800,000",2015,1 win & 7 nominations.,"Comedy, Drama",Warner Bros. Pictures,PG-13,7.1
33,Jupiter Ascending,"$179,000,000","$183,887,723","$47,387,723","$136,500,000",2015,4 wins & 16 nominations.,"Action, Adventure, Sci-Fi",Warner Bros. Pictures,PG-13,5.3
